Task_ID,Job_ID,MRFlag,WorkerID_Assigned,Execution_time,Arrival_time
1_M1,1,M,1,2.0043954849243164,6.011112451553345
2_M0,2,M,2,2.0053865909576416,6.011923313140869
3_M1,3,M,3,2.0035905838012695,6.014989614486694
0_M0,0,M,2,4.006598234176636,5.00757098197937
2_M3,2,M,1,3.0018093585968018,6.014221906661987
2_M1,2,M,1,3.0041019916534424,6.012747764587402
3_M2,3,M,1,3.0040197372436523,6.015179395675659
3_M0,3,M,2,3.005394697189331,6.014763832092285
1_M0,1,M,2,4.006147384643555,6.010007381439209
2_M2,2,M,2,4.006246566772461,6.013503551483154
6_M1,6,M,1,1.0030927658081055,9.025293350219727
5_M1,5,M,3,3.005335807800293,8.019634008407593
3_R0,3,R,1,2.0043253898620605,9.024008989334106
4_M0,4,M,1,4.006858587265015,8.016624927520752
5_M0,5,M,2,4.006584405899048,8.018213748931885
5_M2,5,M,2,4.006026983261108,8.02064561843872
6_M0,6,M,2,3.0050365924835205,9.024686336517334
2_R1,2,R,1,2.0048892498016357,10.030545711517334
0_R0,0,R,1,4.004981517791748,9.022989511489868
9_M0,9,M,1,1.0016779899597168,12.03844928741455
4_R1,4,R,1,1.003795862197876,12.037151098251343
1_R0,1,R,2,4.006821870803833,10.027180671691895
2_R0,2,R,2,4.006465435028076,10.029024839401245
7_M0,7,M,2,4.0047221183776855,10.031469345092773
5_R0,5,R,1,2.002570152282715,12.037875413894653
8_M0,8,M,3,2.0038461685180664,12.038256168365479
4_R0,4,R,2,3.0053086280822754,12.035109519958496
9_R0,9,R,1,1.0036981105804443,14.041197538375854
10_M0,10,M,1,1.0025224685668945,14.044496536254883
6_R0,6,R,2,4.005261421203613,12.038051128387451
8_R0,8,R,1,2.0036776065826416,14.043424129486084
7_R0,7,R,2,3.0052237510681152,14.042741537094116
10_R0,10,R,2,2.0029759407043457,15.049419164657593
11_M2,11,M,1,2.0055317878723145,15.048701286315918
11_M1,11,M,1,2.0074563026428223,15.04750108718872
8_R1,8,R,2,4.004312992095947,14.043968915939331
11_M0,11,M,2,4.006072282791138,15.046211004257202
13_M0,13,M,2,1.0016534328460693,18.0546932220459
12_M0,12,M,1,3.0060088634490967,16.051351308822632
13_M1,13,M,2,1.0034692287445068,18.05515694618225
13_M2,13,M,1,2.0036535263061523,18.05548596382141
15_M1,15,M,2,2.003960132598877,18.056214094161987
11_R0,11,R,2,1.0038399696350098,19.057698965072632
12_R0,12,R,2,1.0032105445861816,19.059582710266113
18_M1,18,M,3,1.002720832824707,19.0653235912323
18_M0,18,M,2,1.0048620700836182,19.064738512039185
15_M0,15,M,1,3.0045363903045654,18.055986166000366
14_M0,14,M,2,3.0057473182678223,18.055747747421265
16_M0,16,M,1,2.003467082977295,19.060479879379272
17_M0,17,M,1,2.003582239151001,19.062206983566284
17_M1,17,M,2,2.0035455226898193,19.06293249130249
17_M2,17,M,3,2.00370717048645,19.063488960266113
19_M2,19,M,2,1.0030109882354736,20.07054877281189
18_R0,18,R,3,1.002612829208374,20.072720766067505
16_M1,16,M,2,3.0050406455993652,19.061060905456543
16_M2,16,M,3,3.0054080486297607,19.06160306930542
13_R1,13,R,2,2.003760814666748,20.072086811065674
13_R0,13,R,1,2.0052900314331055,20.07142448425293
15_R0,15,R,1,1.0041213035583496,21.075074195861816
17_M3,17,M,1,4.006233215332031,19.06411838531494
19_M0,19,M,2,4.007466077804565,20.06732702255249
19_M1,19,M,2,4.006862163543701,20.06917977333069
14_R0,14,R,2,3.004392623901367,21.077136278152466
16_R0,16,R,2,2.0052525997161865,22.078640699386597
19_R0,19,R,2,1.0043768882751465,24.083577156066895
17_R0,17,R,1,3.005751848220825,23.081968069076538
