Task_ID,Job_ID,MRFlag,WorkerID_Assigned,Execution_time,Arrival_time
1_M0,1,M,2,1.001380205154419,15.851950645446777
0_M0,0,M,1,4.004319906234741,18.80526065826416
0_R0,0,R,2,2.001281261444092,17.856967210769653
2_M0,2,M,3,1.001424789428711,15.917389869689941
2_M1,2,M,1,1.0014533996582031,23.814391613006592
1_R1,1,R,1,3.003546953201294,22.811217546463013
1_R0,1,R,3,4.003472566604614,14.913636922836304
3_M2,3,M,1,3.0019912719726562,23.81558132171631
4_M0,4,M,1,2.0025227069854736,24.818952560424805
5_M0,5,M,2,1.0011141300201416,20.865792274475098
5_M1,5,M,1,1.0015361309051514,25.8220477104187
5_M2,5,M,2,1.001389980316162,20.867263793945312
3_M0,3,M,2,4.003104209899902,18.859249591827393
3_M1,3,M,3,4.0025389194488525,15.918635845184326
3_M3,3,M,2,4.003060340881348,18.860624313354492
2_R0,2,R,3,3.0034468173980713,16.92147922515869
5_R0,5,R,2,1.0005419254302979,21.86961841583252
5_R1,5,R,1,1.0012247562408447,26.825530290603638
6_M1,6,M,2,1.0013012886047363,22.87140679359436
4_R0,4,R,3,3.001295328140259,18.92762780189514
4_R1,4,R,1,3.003713369369507,26.82474398612976
6_M3,6,M,1,2.00203275680542,27.82748794555664
9_M3,9,M,2,1.0020031929016113,23.877217054367065
3_R0,3,R,2,3.003244638442993,22.8707058429718
3_R1,3,R,3,3.0031683444976807,19.92975401878357
6_M0,6,M,1,3.0029478073120117,27.826627016067505
8_M0,8,M,1,2.0023279190063477,28.830289840698242
9_M1,9,M,2,2.002523422241211,23.875640392303467
11_M1,11,M,1,1.0003070831298828,29.83720850944519
10_M1,10,M,1,1.0008158683776855,29.83680486679077
6_M2,6,M,3,4.002960681915283,19.93066096305847
7_M1,7,M,1,3.0027379989624023,28.829857349395752
7_M2,7,M,2,3.0033490657806396,23.874486446380615
9_M0,9,M,2,3.0027713775634766,23.875319719314575
11_M0,11,M,2,2.001255512237549,24.881671905517578
12_M0,12,M,3,1.001065731048584,22.9438579082489
7_M0,7,M,2,4.000430583953857,23.8738272190094
9_M2,9,M,2,4.001280307769775,23.8768527507782
10_M0,10,M,3,3.001309633255005,21.939669132232666
8_R0,8,R,3,1.0005698204040527,23.94447422027588
12_R0,12,R,3,1.0033228397369385,23.950944662094116
13_M2,13,M,1,2.0017781257629395,30.85722064971924
6_R0,6,R,1,2.002232313156128,31.84653925895691
9_R0,9,R,3,1.0017976760864258,24.953762769699097
16_M0,16,M,3,1.0007059574127197,24.95628523826599
13_M1,13,M,2,3.000891923904419,25.901466369628906
13_M3,13,M,1,3.00171160697937,30.857415437698364
13_M0,13,M,1,3.003157138824463,30.856292247772217
11_M2,11,M,2,4.001406669616699,25.884694814682007
15_M0,15,M,2,3.0023019313812256,26.891933917999268
6_R1,6,R,2,3.0028297901153564,26.891602516174316
7_R0,7,R,2,2.002476930618286,27.894181966781616
16_M1,16,M,2,2.0010616779327393,27.898409605026245
17_M2,17,M,3,1.001887559890747,25.96064567565918
14_M0,14,M,1,4.003939628601074,30.857598781585693
18_M2,18,M,1,1.0015342235565186,33.8627827167511
13_R1,13,R,2,1.0012247562408447,29.891849517822266
10_R0,10,R,2,3.002347707748413,27.895821571350098
17_M1,17,M,1,2.0023300647735596,33.8565890789032
11_R0,11,R,2,1.0012545585632324,29.904903411865234
13_R0,13,R,1,2.002406120300293,33.865745067596436
15_R1,15,R,2,1.0012242794036865,29.92633605003357
17_M0,17,M,3,3.0017151832580566,25.959270477294922
18_M0,18,M,3,3.0024611949920654,25.962505340576172
16_R1,16,R,1,2.00227689743042,34.91373252868652
14_R0,14,R,2,2.001141309738159,30.90379786491394
17_M3,17,M,1,4.004136800765991,33.858773946762085
18_M1,18,M,2,4.003291368484497,28.905519723892212
15_R0,15,R,2,4.003634452819824,29.91056203842163
16_R0,16,R,1,4.003653526306152,34.897932291030884
19_M0,19,M,2,4.004189968109131,29.941974401474
19_M1,19,M,3,4.003903865814209,27.001088619232178
18_R0,18,R,1,2.0010225772857666,38.86456298828125
17_R0,17,R,3,3.0018391609191895,30.967204570770264
19_R1,19,R,3,3.002459764480591,31.97052025794983
19_R0,19,R,2,4.003639459609985,34.91105604171753
