Task_ID,Job_ID,MRFlag,WorkerID_Assigned,Execution_time,Arrival_time
3_M0,3,M,1,1.0033714771270752,44.935771226882935
0_M2,0,M,2,2.0042126178741455,29.787548780441284
1_M1,1,M,3,2.003596782684326,17.804916381835938
4_M1,4,M,1,1.003206729888916,45.93849730491638
3_R0,3,R,2,1.004295825958252,30.79939293861389
0_M0,0,M,1,3.0032176971435547,44.93015456199646
1_M2,1,M,1,3.002951145172119,44.93440628051758
0_M3,0,M,3,3.0062673091888428,17.804036855697632
0_M1,0,M,2,4.004250764846802,29.78655219078064
1_M0,1,M,2,4.004260301589966,29.788588285446167
2_M0,2,M,3,4.0026350021362305,17.806453227996826
4_M0,4,M,1,3.004629611968994,45.93734407424927
5_M2,5,M,2,3.003591775894165,30.798410892486572
5_M1,5,M,1,4.005802869796753,45.940603256225586
5_M0,5,M,2,4.008142948150635,30.795532941818237
0_R0,0,R,2,1.0032649040222168,33.80288100242615
1_R0,1,R,3,1.003601312637329,21.819272756576538
4_R0,4,R,2,1.0073986053466797,33.810349464416504
2_R0,2,R,1,2.003797769546509,48.949894189834595
6_M0,6,M,2,2.0028891563415527,33.81114912033081
5_R0,5,R,3,1.0046749114990234,22.828747272491455
7_M2,7,M,2,1.0085148811340332,34.81718063354492
4_R1,4,R,1,3.004608392715454,48.953638792037964
6_R0,6,R,3,1.0053889751434326,23.837255716323853
1_R1,1,R,1,4.004448652267456,48.94869565963745
2_R1,2,R,1,4.006038188934326,48.9517605304718
8_M2,8,M,3,2.0043318271636963,23.840274333953857
7_M1,7,M,1,4.001858949661255,49.959227561950684
7_M0,7,M,2,4.003625869750977,34.81450653076172
8_M0,8,M,2,3.003380298614502,35.822713136672974
8_M1,8,M,2,3.006084442138672,35.82353663444519
10_M1,10,M,2,2.003660202026367,36.83120512962341
11_M1,11,M,3,1.0015902519226074,25.84982395172119
11_M3,11,M,3,1.0013587474822998,25.85070037841797
8_M3,8,M,2,4.003335952758789,35.825950384140015
10_M0,10,M,2,3.004621982574463,36.83036398887634
12_M0,12,M,3,1.0045051574707031,26.852789640426636
9_M0,9,M,1,4.005635738372803,51.97245001792908
9_M1,9,M,1,4.005787372589111,51.973342418670654
11_M0,11,M,3,3.0037078857421875,25.848934173583984
12_M1,12,M,1,2.0030157566070557,53.98179769515991
11_M2,11,M,2,4.001835346221924,37.83471608161926
7_R1,7,R,1,3.0033960342407227,53.98121929168701
7_R0,7,R,3,3.0046746730804443,26.852123737335205
10_R0,10,R,2,2.0446319580078125,39.84216094017029
13_M1,13,M,1,1.0396435260772705,55.99074840545654
13_M2,13,M,3,1.0390191078186035,28.86413598060608
8_R0,8,R,1,3.0053319931030273,54.98510479927063
12_R0,12,R,3,2.0031492710113525,28.860106229782104
11_R1,11,R,1,1.0026977062225342,56.99430465698242
9_R0,9,R,1,3.005577325820923,55.98780155181885
13_M0,13,M,2,3.0043349266052246,40.84560704231262
11_R0,11,R,3,2.0034000873565674,29.86528491973877
15_M0,15,M,1,1.0033631324768066,57.99786639213562
16_M0,16,M,3,1.006054162979126,30.871728897094727
14_M0,14,M,2,3.0019073486328125,41.850301027297974
17_M3,17,M,1,1.0016143321990967,59.005465030670166
14_M1,14,M,2,4.004582166671753,41.8508939743042
15_M1,15,M,3,3.0022857189178467,30.87000823020935
16_M2,16,M,1,3.0074639320373535,58.00400161743164
17_M0,17,M,2,2.005556344985962,43.86137914657593
16_M1,16,M,1,4.008060455322266,58.0017626285553
13_R1,13,R,1,3.005944013595581,59.005059242248535
18_M1,18,M,1,2.0060603618621826,60.00785779953003
15_R1,15,R,2,1.0040028095245361,45.86856389045715
18_M0,18,M,1,3.0025243759155273,60.00692629814148
13_R0,13,R,2,4.006967306137085,43.86105751991272
17_M2,17,M,3,4.005991697311401,31.87585425376892
17_M1,17,M,2,4.006731986999512,43.86168909072876
14_R0,14,R,1,2.0049216747283936,61.01074528694153
19_M1,19,M,3,3.0075509548187256,32.880184173583984
19_M2,19,M,2,3.007551670074463,44.86469793319702
16_R0,16,R,2,1.002554178237915,46.870598793029785
19_M0,19,M,2,4.005237340927124,44.864283084869385
18_R0,18,R,3,1.0021305084228516,35.88782739639282
15_R0,15,R,3,4.005648136138916,33.88311004638672
18_R1,18,R,1,2.0044798851013184,63.017293214797974
17_R0,17,R,1,4.0036656856536865,63.01798939704895
19_R0,19,R,2,3.018198013305664,48.875296115875244
19_R1,19,R,1,4.005187511444092,64.02019906044006
